Column,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,City,Zip,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
M0059,Greensboro Urban Ministry,Potter's House Community Kitchen,Support for a Safe Home,Household Safety/Material Supports,Food/Nutrition Assistance,,(336) 412-2244,,https://greensborourbanministry.org/,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,10:30am-12:30pm,306 W. Gate City Boulevard,Greensboro,27406.0,,Guilford County-Wide,,"Potter's House Community Kitchen provides a hot, nutritious, well-balanced lunch every day, including holidays. They have an open-door policy – everyone is welcome, without question or qualification.  The community lunch begins promptly at 10:30 am when the doors open, and the first of the guests start to stream in. Each guest is seated and served a drink from the beverage station and a tray from the food line. By 12:30 the last of the guests have received their meal.",,,,,Provides hot meals,,,,,,,,,,,,,,,,,Mark Sumerford,336-271-5959 x309,sumerford@guministry.org
M0060,Guilford Child Development,Family Success Center,Support for a Safe Home,Household Safety/Material Supports,Education Assistance,Job Attainment Services,336-369-5060,336-378-7708,https://guilfordchilddev.org/parents/ged/greensboro/,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,,,1200 Arlington Street,Greensboro,27406.0,,Guilford County-Wide,,"Family Success Center offers GED, workforce readiness, financial literacy, resume writing, computer skills, and health and wellness classes. Child care is provided for children if they are not enrolled in Head Start/Early Head Start or the public school system. The program includes more than two dozen major service providers in a collaborative, family-centered system.",Adults and their children (6 weeks to 5 years old),"Participants must have a child enrolled in a Greensboro Head Start Center, live in the 27406 zip code, or have been referred by a trusted partner.",No,English,"GED classes, Adult Basic Education (ABE), job training, financial management, health and wellness classes, child care, meals",August-December and January-May,No,Assessment/placement provided by GTCC for GED classes,No,Katina Madison,336-369-5038,katina.madison@guilfordchilddev.org,"None/walk-in, call, online application, Professional/Partner referral","Call, professional/partner referral",https://guilfordchilddev.org/parents/ged/contact,Within 1 week,After an appointment has been made with client,None,None,No duplication allowed,"Yes, can provide bus passes or gas cards",Katina Madison,336-369-5038,katina.madison@guilfordchilddev.org
M0061,Guilford Child Development,Head Start/Early Head Start,Support for Caring for Infants and Children,Child Care Plans,Early Education Child Care,,336-369-5097,336-378-7708,https://guilfordchilddev.org/parents/preschool/head_start/,8:00am-2:00pm,8:00am-2:00pm,8:00am-2:00pm,8:00am-2:00pm,8:00am-2:00pm,,,1200 Arlington Street,Greensboro,27406.0,,Guilford County-Wide,," A federally funded holistic child development program that promotes healthy prenatal care for pregnant women, enhances the development of very young children (ages 0 to 5), and promotes healthy family effectiveness.",Children ages 6 weeks to 4 years old,Families at or below the federal poverty line or families with a child who has a diagnosed disability,No,English,"Creative Curriculum education, meals and snacks, access to health specialists, case management",August-June each year,Yes,,No,Rashad Rodas,336-369-5066,rashad.rodas@guilfordchilddev.org,"Online application, Professional/Partner referral",Online application,https://guilfordchilddev.org/parents/preschool/head_start/forms/,,,4 weeks or longer,4 weeks or longer,No duplication allowed,"Yes, some locations provide transportation for 3 and 4 year olds",Rashad Rodas,336-369-5066,rashad.rodas@guilfordchilddev.org
M0062,Guilford Child Development,High Point Opportunity Center,Support for a Safe Home,Household Safety/Material Supports,Education Assistance,Literacy Services,336-887-0082,336-378-7708,https://guilfordchilddev.org/parents/ged/highpoint/,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,,,2039 Brentwood Street,High Point,27263.0,,Guilford County-Wide,,"HPOC offers classes for parents in GED studies, financial literacy, nutrition. They also offer EDU 119 for parents interested in early education. They provide assistance with bus passes and childcare.",Adults and their children (6 weeks to 5 years old),Participants must have a child enrolled in a High Point Head Start Center or have been referred by a trusted partner.,Yes,"English, Spanish ","ESOL, GED classes, Adult Basic Education (ABE), nutrition classes, job training, child care services",August-December and January-May,No,Assessment/placement provided by GTCC,"No, except for EDU classes",Janie Costello,336-908-0711,jane.costello@guilfordchilddev.org,"None/walk-in, call, online application, Professional/Partner referral","Call, online application, Professional/Partner referral",https://guilfordchilddev.org/parents/ged/contact,Within 1 week,Contact referring agencies for update,None,None,Duplication allowed,"Yes, bus passes",Janie Costello,336-908-0711,jane.costello@guilfordchilddev.org
M0063,Guilford Child Development,Learning Together,Support for a Safe Home,Household Safety/Material Supports,Literacy Services,Education Assistance,336-369-5074,336-378-7708,https://guilfordchilddev.org/parents/ged/learning_together/,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,,,1200 Arlington Street,Greensboro,27406.0,,Guilford County-Wide,,A two-generational family literacy program that serves immigrant/refugee mothers and their children achieve their goals together. There are two program sites - one in Greensboro and another in High Point.,Mothers and their children (6 months to 5 years old),"Immigrant/refugee mothers and children, especially if they are low-income",Yes,"English, Spanish, French, and Arabic (French and Arabic on a limited basis)","ESOL, parenting education, Parent and Child Together time (PACT), child care services, service-learning",August-December and January-May,No,English testing provided by GTCC,No,Karen Martinez,919-559-5809,karen@guilfordchilddev.org,"None/walk-in, Call, Online application, Professional/Partner referral","Call, Online application, Professional/Partner referral",https://guilfordchilddev.org/parents/english/contact/,Within 1 week,Contact referring agencies for update,None,None,No duplication allowed,No,Karen Martinez,919-559-5809,karen@guilfordchilddev.org
M0064,Guilford Child Development,Nurse-Family Partnership,,,Home Visiting Programs,Case Management,336-369-5080,336-378-7708,https://guilfordchilddev.org/parents/baby/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1200 Arlington Street,Greensboro,27406.0,,Guilford County-Wide,,"Nurse-Family Partnership works by having specially trained nurses regularly visit young, first-time moms-to-be, starting early in the pregnancy, and continuing through the child's second birthday",Mothers and their child ,"Low-income, first-time mothers in their 1st or 2nd trimester of pregnancy",Yes,"English, Spanish","Home visiting, case management, nutrition education, lactation consulting",Until the child is 2 years old,Yes,No,No,Tamieka Smith,336-669-2679,tamieka.smith@guilfordchilddev.org,"Call, Professional/Partner Referral","Call, Professional/Partner Referral",,Within 1 week,If request is made,None,None,No duplication allowed,No,Mishawne Carrington,336-369-5080,mishawne.carrington@guilfordchilddev.org
M0065,Guilford County Partnership for Children,NC Pre-K,,,Early Education Child Care,,336-274-5437,,https://www.guilfordchildren.org/families/nc-pre-k-4-yr-olds/,N/A,N/A,N/A,N/A,N/A,,,"500 W. Friendly Avenue, Suite 100",Greensboro,27401.0,,Guilford County-Wide,,"The program is free to participants with the goal of helping young children (whose families financially qualify) prepare for kindergarten. NC Pre-K sites include public elementary schools, Head Start Centers and private childcare centers throughout Guilford County.",,,,,,,,,,,,,,,,,,,,,,,,
M0066,Guilford County Transportation and Mobility Services (TAMS),Guilford County Transportation and Mobility Services (TAMS),,,Transportation Services,,336- 641-2561,,https://www.guilfordcountync.gov/our-county/human-services/transportation,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,,1203 Maple Street,Greensboro,27405.0,,Guilford County-Wide,,"Guilford County Transportation and Mobility Services (TAMS) as a public transit system and primarily serves persons living in Guilford County without access to GTA in Greensboro or Hi tran in High Point. Transportation is provided for medical appointments, employment, education, senior services, nutrition sites and adult day care. Trips must be reserved by noon on the business day before the trip and are provided as part of a shared ride service. All services required completion and approval of an eligibility form before service can begin. Our fleet consists of 21 lift-equipped vehicles and service animals are permitted.  We provide door to door service so the driver will come to your door when they arrive.  ",,,,English and Spanish ,"Non-emergergy medical transportation, Senior Sevice Transportation, Continuing Ed Bus Transportation, 24/7 Employment Transportation Services ",,,,2.5,,,,,,https://www.guilfordcountync.gov/Home/ShowDocument?id=9267,,,,,,,Transportation Supervisor ,336-641-3515,izimmer@guilfordcountync.gov
M0067,High Point Housing Authority,High Point Housing Authority,Support for a Safe Home,Household Saftey/ Material Supports,Housing Services,,336-887-2661,,https://hpha.net/,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,,,500 E. Russell Street,High Point,27260.0,,"High Point, Greater High Point",,"Our Mission is to provide eligible families and individuals with adequate and affordable housing, economic advancement, and homeownership opportunities — in a safe, drug-free, suitable, living environment — without discrimination. Towards this goal, we offer a variety of programs, including rental subsidies, urban development investments and affordable housing.",18+,,,,"Adequate and affordable housing, economic advancement, and homeownership opportunities",,,,,,,,,,,,,,,,,Tonya Atkins,,tatkins@hpha.net
M0068,High Point Medical Center- Esther R. Culp Women's Center,Pregnancy/Postpartum Support Group,Support for Health Care,Maternal Health,Postpartum Mental Health,Parent/Caregiver Support Groups,336-609-7383,,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,,,,,,,,601 N. Elm Street,High Point,27262.0,,"High Point, Greater High Point",,Hope-Filled Hearts is a support group that aims to offer hope and support to women who are having a hard time with adjustments related to pregnancy and the postpartum period. Meetings will include opportunities for open discussion as well as education on topics related to motherhood. The group is facilitated by licensed professional counselor. Group meets the 1st Wednesday of each month at noon and the third Tuesday at 6:30.,,,,,Support group,,,,,,,,,,,,,,,,,,,
M0069,High Point Parks and Recreation,High Point Parks and Recreation,,,,,336-883-3469,,https://www.highpointnc.gov/368/Parks-Recreation,N/A,N/A,N/A,N/A,N/A,,,136 Northpoint Avenue,High Point,27262.0,,"High Point, Greater High Point",,"The High Point Parks and Recreation Department exists to provide professional and diverse leisure opportunities through inclusive programs, facilities, parks, and open space, ensuring that High Point is a desirable place to work, live, and play.",All ages,N/A,,,"Programs, facilities, parks, and open space,",As needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Lee Tillery,336-883-3469,lee.tillery@highpointnc.gov
M0070,High Point Transit,High Point Transit,Support for a Safe Home,Household Safety/Material Supports,Transportation Services,,336-889-7433,,https://www.highpointnc.gov/transit,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,8:45 am - 5:15 pm,,716 W. Martin Luther King Jr. Drive,High Point,27262.0,,Guilford County-Wide,,"High Point Transit System is the publicly owned and operated public transportation system for the City of High Point. High Point Transit is responsible for all activities required by and related to the operation of a multi-faceted transit system for the citizens of High Point. This includes the operation of fixed route bus service, ADA complementary paratransit service, and door-to-door demand responsive service for the elderly.",All ages,Must be a resident of High Point,No,N/A,Public transportation system,As needed,N/A,N/A,"Regualr fare- $1, 60 years or older-$.50. $40 a month",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Must have bus fair card or pay once you reach the bus,,,
M0071,Hope4Healers Helpline,Hope4Healers Helpline,,,Adult Mental Health Services,,919-226-2002,,https://www.ncdhhs.gov/news/press-releases/new-mental-health-supports-all-north-carolinians-including-health-care-workers,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,,,,Multi-County,,"The Hope4Healers Helpline is a new initiative in partnership with the North Carolina Psychological Foundation. It provides mental health and resilience supports for healthcare professionals, emergency medical specialists, first responders, other staff who work in health care settings and their families throughout the state who are experiencing stress from being on the front lines of the state’s COVID-19 response. Hope4Healers is available 24 hours per day, seven days a week for people to reach out for support; they will be contacted quickly by a licensed mental health professional for follow-up. 
Screen reader support enabled.
",,,,,,,,,,,,,,,,,,,,,,,,
M0072,Hope4NC Helpline,Hope4NC Helpline,,,Adult Mental Health Services,,1-855-587-3463,,https://www.ncdhhs.gov/news/press-releases/new-mental-health-supports-all-north-carolinians-including-health-care-workers,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,,,,,,"The Hope4NC Helpline is a mental health resource to support North Carolinians during #COVID19NC. Call for support 24 hours a day, seven days a week.",,,,,,,,,,,,,,,,,,,,,,,,
M0073,Interactive Resource Center,Interactive Resource Center,,,Day Center,,336-332-0824,,http://interactiveresourcecenter.org/,8am-3pm,8am-3pm,8am-3pm,8am-3pm,8am-3pm,,,407 E Washington Street,Greensboro,27401.0,,Greensboro,,"The Interactive Resource Center is Guilford County’s only day resource center for people currently facing, experiencing or coming out of homelessness. They use a whole-person approach to address all aspects of the homeless experience. This means they provide everything from fundamental services to medical and mental health care, case management and employment services. They meet their guests where they are, gather the resources they need to gain shelter and help them create a new path forward. They provide showers, hygiene supplies, laundry, replacement ID's, phone access, mailing address, on site barber shop, storage lockers, professional clothing vouchers, and white flag warming center. They offer resume and job application assistance, GED classes, interview training, and financial literacy assistance.",18 or older,N/A,N/A,N/A,"Path Street Outreach, Medical Clinic, Skilled trade classes, Job skill classes,GED classes, Interview training, Finanical Literacy",N/A,N/A,N/A,N/A,Mia Dixon ,336-332-0824,mia@ircgso.org,Depends on needs ,N/A,Walkin and Speak with Case Manager Tuesday-Friday From 9am-2pm,N/A,N/A,N/A,N/A,N/A,N/A,Michelle Kennedy,336.369.5691,michelle@ircgso.org
M0074,Journeys Counseling,Journeys Counseling,,,Child and Family Mental Health Services,Adult Mental Health Services,336-294-1349,,https://www.journeyscounselinggso.com/,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,Appointment Only ,,"3405 W. Wendover Avenue, Suite A",Greensboro,27407.0,,Multi-County,,"Journeys Counseling Center is a medical facility that provides intensive outpatient treatment for children, adults and families. Services are rendered by licensed and independent practitioners that specialize in a range of areas to meet the identified specific needs of patients.",3 or older,Insurance or Self pay,N/A,N/A,"Play Therapy, Group Therapy,Consultant Service, Maternity Services, Tramua Focused Therapy, more",Depends on individual bases ,yes ,"Play therapy, Assessments, Couple/ Relationship Counseling, Consultant Service,Maternity Service, Spiritual/ Hypothesis Therapy, Cognitive Behavioral Therapy, Trauma Focused Therapy, Group Therapy, and Psycho Educational Therapy ",,,,,completing the application ,,,,N/A,No,No,No,No,Shirena Smith,336-451-1113,sscounseling1@yahoo.com
M0075,Kellin Foundation,Girls Leadership Edge,,,,,336-429-5600,336-850-5600,http://www.kellinfoundation.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,2110 Golden Gate Drive Suite B,Greensboro,27405.0,,Multi-County,,"A leadership skills development program focused on self-awareness, defining purpose, communicating effectively, appreciating differences and resolving conflict. Girls participating in the program are finding their voice and learning to use it to lead in their communities.",Girls 13 to 15,None,Bilingual staff on-site,English/Spanish,,Within 9 months (5 two-hour modules),Yes,,,McKenzie Stenberg,336-373-4827,referral@kellinfoundation.org,"Online, Fax",Online,,Referral Source must request,,None,,None,N/A,Kelly Graves,336-429-5600,kelly@kellinfoundation.org
M0076,Kellin Foundation,Greensboro Child Response Initiative,Support for a Safe Home,Family and Community Safety,Child and Family Mental Health Services,Domestic Violence/Interpersonal Violence Services,336-429-5600,336-850-5600,http://www.kellinfoundation.org/,N/A,N/A,N/A,N/A,N/A,,,2110 Golden Gate Drive Suite B,Greensboro,27405.0,,Greensboro,,"A trauma-informed, culturally-competent, and comprehensive coordinated community response for child victims and their families. ",Children 0-18 and their families,Children and families who have experienced any kind of trauma or violence,Bilingual staff on-site,English/Spanish,"Safety Planning, Victim Advocacy and Support, Counseling, Referrals, Parent Education About Child Trauma","Varies, depends on the individual",,,Free,McKenzie Stenberg,336-373-4827,referral@kellinfoundation.org,"Online, Fax",Online,http://www.kellinfoundation.org/uploads/2/6/2/6/26265769/referral_form.pdf,Referral Source must request,,None,,None,N/A,Kelly Graves,336-429-5600,kelly@kellinfoundation.org
M0077,Kellin Foundation,Greensboro HEALS,Support for Parent(s),Substance Abuse,Adult Mental Health Services,Substance Use Services,336-429-5600,336-850-5600,http://www.kellinfoundation.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"2110 Golden Gate Drive, Suite B",Greensboro,27405.0,,Greensboro,,Greensboro Healing and Empowering All Survivors (HEALS) provides individuals ages 19-64 with free (or greatly reduced) mental health and substance abuse services.,Adults 19-64,Uninsured or underinsured individuals with co-occuring mental health and substance use struggles,Bilingual staff on-site,English/Spanish (will work with other languages),"Clinical Assessments, Outpatient Therapy, Patient Navigation, Psychological Consultation, Case Management","Varies, depends on the individual",Yes,"SPOH, EUREKA; Dependent Upon age","None if uninsured, underinsured with orange card receives reduced rate",McKenzie Stenberg,336-373-4827,referral@kellinfoundation.org,"Online, Fax",Online,http://www.kellinfoundation.org/uploads/2/6/2/6/26265769/referral_form.pdf,Referral Source must request,,6-8 weeks,,None,N/A,Kelly Graves,336-429-5600,kelly@kellinfoundation.org
M0078,Kellin Foundation,Lindys Kids,Support for a Safe Home,Household Safety/Material Supports,Financial Assistance,,336-429-5600,336-850-5600,http://www.kellinfoundation.org/,N/A,N/A,N/A,N/A,N/A,,,2110 Golden Gate Drive Suite B,Greensboro,27405.0,,Multi-County,,Lindy’s Kids provides financial assistance to kids and families in order to help them maintain a safe living environment and have access to opportunities that enhance their well-being.,Children,"Family in need of rent assistance, food assistance, financial assistance, basic hygiene needs, or other needs. ",Bilingual staff on-site,English/Spanish,Financial Assistance,,No,,Free,McKenzie Stenberg,336-373-4827,referral@kellinfoundation.org,"Online, Fax",Online,,Referral Source must request,,None,,None,N/A,Kelly Graves,336-429-5600,kelly@kellinfoundation.org
M0079,Kellin Foundation,Treehouse Trauma Recovery,Support for a Safe Home,Family and Community Safety,Child and Family Mental Health Services,Domestic Violence/Interpersonal Violence Services,336-429-5600,336-850-5600,http://www.kellinfoundation.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,2110 Golden Gate Drive Suite B,Greensboro,27405.0,,Multi-County,,"Tree House provides trauma-informed assessment and treatment services for children, adults and families who have been exposed to stressful events. The goal of the Treehouse is be a bridge from crisis to wellness",All ages,"Children, adolescents, and families exposed to domestic violence, family violence, or other traumatic or stressful life events",Bilingual staff on-site,English/Spanish (will work with other languages),"Clinical Assessments, Outpatient Therapy, Case Management, Psychoeducation Groups, Therapeutic Support Groups, Parent Support Services",,Yes,"SPOH, EUREKA; Dependent Upon age",Free or greatly reduced rates,McKenzie Stenberg,336-373-4827,referral@kellinfoundation.org,"Online, Fax",Online,http://www.kellinfoundation.org/uploads/2/6/2/6/26265769/referral_form.pdf,Referral Source must request,,4-6 weeks,,None,N/A,McKenzie Stenberg,336-429-5600,referral@kellinfoundation.org
M0080,,Kellin's Kids,,,,,,,,,,,,,,,,,,,,,,All Ages,Any Child,,,"Empowerment, Youth Leadership",,,,Free,,,,,,,,,,,,,,,
M0081,Legal Aid of NC,Legal Aid of NC,,,Legal Services,,336-272-0148,,https://www.legalaidnc.org/,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,,,122 N. Elm Street,Greensboro,27401.0,,Multi-County,,"​Legal Aid of North Carolina is a statewide, nonprofit law firm that provides free legal services in civil matters to low-income people in order to ensure equal access to justice and to remove legal barriers to economic opportunity.",,,,,"Employment, Family Law, Goverment Benefits, Housing ",,,,,,,,,,http://ww2.legalaidnc.org/a2j6/a2j-viewer/viewer/apply.html#!view/pages/page/1-Introduction,,,,,,,,,
M0082,Macedonia Family Resource Center,Food Pantry,,,Food/Nutrition Assistance,,336-883-0300,,https://www.macedoniacenter.org/,Appointment only,Appointment only,Appointment only,Appointment only,Appointment only,,,401 Lake Avenue,High Point,27260.0,,"High Point, Greater High Point",,"The mission of Macedonia Family Resource Center is to empower all people by enriching their spiritual, social, and family lives in God’s love. They do this by identifying the needs of the Macedonia Community, designing programs and implementing them to provide emergency services and educational tools to better the future of the people in need.",,,,,"Community Garden, Computer Training, GED Preparation Classes, Technology Access Point, Community Dinner, Medicine Program,Bible Study ",,,,,,,,,,,,,,,,,Angela James,336-883-0300,macedoniafrc@gmail.com
M0083,Mended Hearts Counseling ,Mended Hearts Counseling,,,Postpartum Mental Health Services,Adult Mental Health Services,336-609-7383,,http://www.mendedheartscounseling.com/,Appointment only,Appointment only,Appointment only,Appointment only,Appointment only,,,701 W. Main Street Suite C,Jamestown,27282.0,,Multi-County,,Mended Hearts Counseling provides comprehensive counseling & therapy services in the Piedmont Triad area for women who are experiencing a range of mental health and emotional concerns. They specialize in providing counseling and support to new and expectant mothers and their families.,,,,,,,,,,,,,,,,,,,,,,Enjonae Anderson,336-609-7383,info@mhcrs.com
M0084,Mental Health Greensboro,Mental Health Greensboro,,,,,336-373-1402,,https://www.mhag.org/,Appointment only,Appointment only,Appointment only,Appointment only,Appointment only,,,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"Public education services include Mental Health First Aid and QPR Suicide Intervention, and the Provider Academy that provides educational opportunities for healthcare professionals",18 or older,N/A,yes ,spanish and english ,"Recovery Skills Classes, Support Groups,One on one peer support, compeer connections, Mental Health First Aid,QPR Suicide Prevention Trainig,Provider Academy,LIFT Peer Support Internships ",Various ,yes ,N/A,N/A,Lee Carter ,336-373-1402,lee@mhag.org,"Peer Referral, Schedule Orientaion ",,https://www.mhag.org/calendars/,,Will contact individuals for orientation and the different programs,No ,No,N/A,N/A,Lee Carter,336-373-1402,info@mhag.org
M0085,Mental Health Greensboro,One-on-One Peer Support,,,Adult Mental Health Services,,336-373-1402,,https://www.mhag.org/peer-support-specialists/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"For individuals with a mental health diagnosis, Mental Health Greensboro provides one-on-one peer support with NC Certified Peer Support Specialists. There is no charge to participate in this program. Each specialist has received extensive training and certification by the state of North Carolina. Peer support specialists work from the perspective of having been there and lend unique insight into mental illness and what makes recovery possible. This program focuses on what mental health consumers can do for themselves and for each other, with activities including skill building, goal setting, and problem solving, all leading to a sense of empowerment for the individual seeking assistance. ",18 or older ,orentation ,yes ,spanish and english ,"REcovery Skills Classes, Support Groups,One on one peer support, compeer connections, Mental Health First Aid,QPR Suicide Prevention Trainig,Provider Academy,LIFT Peer Support Internships ",12 sessions ,yes ,N/A,N/A,Lee Carter ,336-373-1402,lee@mhag.org,"Peer Referral, Schedule Orientaion ",,https://www.mhag.org/calendars/,,Will contact individuals for orientation and the different programs,No ,No,N/A,N/A,Lee Carter,336-373-1402,info@mhag.org
M0086,Mental Health Greensboro,Peer-Led Support Groups,,,Adult Mental Health Services,,336-373-1402,,https://www.mhag.org/support-groups/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"MHG offers several peer-led self-help support groups which do not require pre-registration and are free of charge. Support groups provide confidential, comfortable environments for people to share their problems, learn new information, have meaningful discussions, and better manage their issues. All of the groups are peer-led by trained facilitators who have a diagnosis or experience with the group’s focus. These groups provide a welcoming, supportive environment where you can be yourself without fear of stigma or judgment, and a place where you don't feel alone.",18 or older,N/A,yes ,spanish and english ,"REcovery Skills Classes, Support Groups,One on one peer support, compeer connections, Mental Health First Aid,QPR Suicide Prevention Trainig,Provider Academy,LIFT Peer Support Internships ",Various,yes ,N/A,N/A,Lee Carter ,336-373-1402,lee@mhag.org,"Peer Referral, Schedule Orientaion ",,https://www.mhag.org/calendars/,,WIll contact individuals for orientation and the different programs,No ,No,N/A,N/A,Lee Carter,336-373-1402,info@mhag.org
M0087,Mental Health Greensboro,Wellness Academy Recovery Classes,,,Adult Mental Health Services,,336-373-1402,,https://www.mhag.org/wellness-academy/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"The Wellness Academy is a free mental health recovery skills program that educates peers about maintaining wellness, coping with stress, and managing symptoms. Their core courses are evidence-based and built from SAMHSA guidelines designed to teach skills and strategies to help individuals overcome the challenges presented by their diagnoses, and work towards what they consider important in their lives.",18 or older ,orientation ,yes ,spanish and english ,"REcovery Skills Classes, Support Groups,One on one peer support, compeer connections, Mental Health First Aid,QPR Suicide Prevention Trainig,Provider Academy,LIFT Peer Support Internships ",Various,yes ,N/A,N/A,Lee Carter ,336-373-1402,lee@mhag.org,"Peer Referral, Schedule Orientaion ",,,,WIll contact individuals for orientation and the different programs,No ,No,N/A,N/A,Lee Carter,336-373-1402,info@mhag.org
M0088,Monarch Counseling,Behavioral Health Urgent Care/Greensboro Bellemeade Crisis Center,,,Adult Mental Health Services,Case Management,336-676-6906 ,,https://monarchnc.org/greensboro-bellemeade-crisis-center/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,201 N. Eugene Street,Greensboro,27401.0,,Multi-County,,"The Behavioral Health Urgent Care offers medication management, outpatient therapy, case management and other related services to ensure that people are linked to the least restrictive and most appropriate level of care that promotes their continued recovery. At Monarch, the Behavioral Health Urgent Care program provides a safe, secure and healthy environment where healing and recovery can begin.",,,,,,,,,,,,,,,,,,,,,,Margrete Williams,866-272-7826,
M0089,Monarch Counseling,Greensboro Bellemeade Center,,,Adult Mental Health Services,,336-676-6906,,https://monarchnc.org/behavioral-health-services/outpatient-services/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,201 N. Eugene Street,Greensboro,27401.0,,Multi-County,,"Monarch’s outpatient services offer a caring and experienced team of professionals who help people take the first step, which is often the most difficult. Together, we develop a well-defined and customized plan for each person that meets the individual’s needs and goals.  Each plan includes evidence-based practices as proven strategies that work. From board-certified psychiatrists, registered nurses, therapists and outpatient office administrative professionals—all care and want to help you and your loved ones in every way possible to ensure you succeed.",,,yes ,Spanish and English,,,,,,,,,,,,,,,,,,Lora Umberger,866-272-7826,
M0090,Novant Health,Baby Cafe,,,Breastfeeding Support,Lactation Consultants,336-718-8233,,https://www.novanthealth.org/home/services/womens-health/maternity-care/breastfeeding-services/baby-cafe.aspx,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,,,N/A,N/A,N/A,,Multi-County,,"Pregnant and breastfeeding mothers can connect with a lactation consultant and other new moms at Novant Health’s Baby Café locations for breastfeeding help and support. Mothers can weigh babies, get help with positioning and latching babies for breastfeeding, and discuss strategies for pumping and storing milk if mothers are returning to work or school. ",,,,,,,,,,,,,,,,,,,,,,Penelope Sluder,336-718-8233,pssluder@novanthealth.org
M0091,Out of the Garden Project ,Food Giveaway,Support for a Safe Home,Household Safety/Material Supports,Food/Nutrition Assistance,,336-430-6070,,https://outofthegardenproject.org/,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,1806 Merrit Drive,Greensboro,27407.0,,Guilford County-Wide,,Out of the Garden Project is the largest nonprofit in the Piedmont Triad with the mission of feeding children and their families.,Specifically for families with children 0-18 years of age,Must qualify by income,Yes,"English, Spanish","Distribute fresh produce, bread, meat, and shelf-stable items ",,,,,,,,,,,,,,,,,Don Milholin,336-430-6070 ext. 5,don@outofthegardenproject.org
